Date/time,Humidity percent
2021-09-25 16:40:11.399164,52.82
2021-09-25 16:41:11.049046,53.68
2021-09-25 16:42:10.698239,53.09
2021-09-25 16:43:10.348653,53.07
2021-09-25 16:44:10.002476,53.32
2021-09-25 16:45:09.652016,53.33
2021-09-25 16:46:09.300680,53.09
2021-09-25 16:47:08.951022,52.84
2021-09-25 16:48:08.601658,53.14
2021-09-25 16:49:08.253065,52.74
2021-09-25 16:50:07.898031,52.79
2021-09-25 16:51:07.550935,52.92
2021-09-25 16:52:07.201829,52.79
2021-09-25 16:53:06.851456,52.76
2021-09-25 16:54:06.506039,52.76
2021-09-25 16:55:06.150808,52.79
2021-09-25 16:56:05.802385,53.05
2021-09-25 16:57:05.451428,52.7
2021-09-25 16:58:05.101681,52.27
2021-09-25 16:59:04.751254,52.57
2021-09-25 17:00:04.404036,52.93
2021-09-25 17:01:04.052298,52.86
2021-09-25 17:02:03.703013,52.8
2021-09-25 17:03:03.351656,52.84
2021-09-25 17:04:03.003585,52.68
2021-09-25 17:05:02.651781,52.79
2021-09-25 17:06:02.302003,52.86
2021-09-25 17:07:01.951515,52.66
2021-09-25 17:08:01.600698,52.72
2021-09-25 17:09:01.254243,51.58
2021-09-25 17:10:00.902807,52.91
2021-09-25 17:11:00.550678,52.29
2021-09-25 17:12:00.202234,52.89
2021-09-25 17:12:59.849941,52.78
2021-09-25 17:13:59.499634,52.52
2021-09-25 17:14:59.149725,52.88
2021-09-25 17:15:58.803443,52.72
2021-09-25 17:16:58.450569,52.62
2021-09-25 17:17:58.099905,52.53
2021-09-25 17:18:57.751473,52.78
2021-09-25 17:19:57.402182,52.25
2021-09-25 17:20:57.051129,52.07
2021-09-25 17:21:56.703836,52.61
2021-09-25 17:22:56.353398,52.73
2021-09-25 17:23:56.003497,52.78
2021-09-25 17:24:55.653864,51.69
2021-09-25 17:25:55.303201,53.13
2021-09-25 17:26:54.953034,52.25
2021-09-25 17:27:54.602254,52.95
2021-09-25 17:28:54.253839,52.82
2021-09-25 17:29:53.903426,52.84
2021-09-25 17:30:53.549751,52.83
